0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.2295758765369925126560827414005522868640766572215055609332402467992725538828728284416', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.8609095370137219224603102802520710757402874645806458534996509254972720770607731066559e-1', '.2582728611041165767380930840756213227220862393741937560498952776491816231182319319968', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.1291364305520582883690465420378106613610431196870968780249476388245908115591159659984', '0.', '.3874092916561748651071396261134319840831293590612906340748429164737724346773478979952', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.1130092261504860934412158185507091387538181547299917018334587302183720557891737425481', '0.', '.1099547836981312725491881183962408478091286349817623488274037651501192580854956206495', '-.4139018151363374184115265728487728599465247117965726321735134691092372464770536068604e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.4477451760798415250337682723593624280571592815736115610291406159783809612542812040500e-1', '0.', '0.', '.2830078307967382278887960880765022556932541008592359234190146757416421013183930628738', '.3080035802911406485424547000466438088061653125808489750831453546946290026452262582069', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6336627856008225390676044813954485741133260214817782032433483923716851879776581223934e-1', '0.', '0.', '0.', '.2230703559034598295194649226187338097950513483903132984010978982273065423955733539315', '.1489464937967154148585974544869914630722476731870577865772050461624340315898408640515e-2', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.8716139585711979265205752118913029867018966212057643833512522001065428853652204184949e-1', '0.', '0.', '0.', '.5760418241677685772917900932492131947126201942793371793191381565584280572266569987479e-1', '.1624426193033170166506391215629796607135776644071895242804416447614987151405759535393e-1', '.3051243913904882472969561715096755156631667321769288623161853263095862788761690205962', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.8806575353026843440839875019386460243290186648334254853465319119223763984558743496716e-1', '0.', '0.', '0.', '0.', '.3286090336403387567826012080790913882984206891521427123573588515116974291120146331681', '.4420274969018432838558323973283626336547335553055488976287498550403694959808523919952', '-.9401727214215340690457804021064266868334862335667919787542674078929474441520403182678e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.8659494328843239839287804064564616487809507876840767994684463931995595544207639770716e-1', '0.', '0.', '0.', '0.', '.1466647320318349514153427956017319276372351615420918022151911856238528862374554761288', '.2611176079564830768340458658747229503711047354120245704057991388090054542461486855478', '-.2504324538611995055708889530555430160313912103744485644498681967832730796133323392311', '-.4055374530246734757304400580198008357844187802863589525228121820415275990549165373931e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6417470164551974482705038223548627546393306631350257970383781797707490976708936610636e-1', '0.', '0.', '0.', '0.', '0.', '0.', '.1778651154664605600508065723950152024137481729054368258753786104835447350023621091280', '-.1364028895356367811172937479975490638234669487435419838793241380705083452183907881811e-2', '.2901252026999739159473539679857250449653428604914522487765049714667410951649785102693', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6135493696548957109307810327955105667225029071001641586005122917029758363683900843376e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.1832331052506105284466361790132527305051746946688719325656520706276989003479122678821e-1', '.3063928947555267654539110639297883473179073644118153970317362389671983809334371850361', '.3014272964278580590864715386928447256478257936887218007941611964013933142218840928792', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6134467748175985905495471009910107549947582215507253219185476853784270839038970665957e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.9300058029990654838443494366350552879010836029070188709174370570902231646796142556693e-1', '.3064532798261794226352207118598042283217709987809756404203870747594288480771026200765', '.3003661865258136567182364571137666181450133693656916953777773898044436318578704511686', '.3503676224123729272821015496819909755081559474199259669362929900924597993004491296110e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6893235251856857906259947015546187180189115235795633295188807506441414121278992779470e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '-1.014900298703759963236900301070551906907856696162847571914904464713878891877328655924', '.1688530863344254022753152060293754716806025041476901014437061660199728637055292170422', '-.2251648869153838972826469679911355122888169954544087302281984093737379355167158368786', '.6399314343666393872837193160033662605862079963846173247504293593152329521084775320745', '.5516413204600861341128678679005160677051593553509521120790594578949602159708188046665', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.5565874737935222414728472733115542405907194812320657064606867680195268897621850634742e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.3638939836747776500545615998230296955398368446811877092055242556019946067415664430842', '-.5139036555530919615914564388829780748767606448342524377858812468376808146043320651727e-1', '.2180307624749469579557507015705205491589324285389488151405177798159014418578098533738', '.2935701099312602610447891691136529481299077267331988615109247557951863974461647305129', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.5573514786850457891374133672089123934478231775923088599851875179612469466028425579749e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.2131042851233086493280134644859690494664980198434261649602597806707858518003144764226', '-.1808141563496269353497231161859882645146485119381616359039001869059200402010234591354', '.1102899114944838241673135195805676617534243689424099732367938253739773321504255461450', '.2929338341629745204657499703783724665034372780146423294838663178515377395484958420861', '-.2832791406856872258856582732730835035172401680353350998436251955491273099955222695326e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.5151580015006627989645498821175536241254452852188560578883655783889035990708128007941e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.4950422242624006475970136088735298478352916310187862495798020004682289050573240479925', '-.2637246765965922630426005759704865374887724305349824791450927946247220578012098081323', '.1459724085921839230381628080741457031538695077899060118385592670994653012483821820189', '.8725803937977298111965890968699816323138437871960619565681322090983589496713056751383e-1', '-.3587095884987392476425035868634268082791651659119145193877383287600824841644819736690e-1', '-.3846897748207222982626371054739393158842051234209480145447988370134154393017176399095', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'.6081372520481376152088270701814944598935414750236929858768566985999089596148421285973e-1', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '0.', '.3861888869077332788543938260128009970619892960748220293244741256115007155359401146963', '-.2569665696058926886902478270532493727810378919788230790627556710942625107464731862502', '.1515607925825529219209876342667146315392682685403324133563612030664779409594200677227', '.3240543825846064068368733794164415740789863071390430979559478039363842797155062886331', '-.3836807796751593900023673570028390106148079991676511601841785038844011556058268552089e-1', '-.7965491859993994987181519643774020446439971485765788325454436920249509414028283372905e-1', '-.2324064455342690793129273065494165680187471311574420795786727224409924383349841760684e-1', 0, 0, 0, 0, 0, 0, 0, 0, 0
