0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'21/307', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1493796999401/55870828953750', '4113508352149/55870828953750', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'306257/8137400', '0', '918771/8137400', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'7023253481998477419/30457603477507616452', '0', '-97755726263210448525/121830413910030465808', '110390085114608940525/121830413910030465808', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'35333589737/721158606756', '0', '0', '2891131475140625/13903735347275508', '1635923156398177/12768410644066017', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'57726863589640330793599/1103754300430686614459883', '0', '0', '854773954222709757941635981890625/13182962564788302438723125920273062', '-5746145167569625093280439800/133196712545129579701764008859', '562671616377192418873593/22714748916948279191340802', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-2248112151938048478585028345059959255585408962897270593635359941463814262941/13115342932591318732131957000841006154717963835710037309623494174522934215656', '0', '0', '88773429949226461875921220960089984351266789166558482123611361847067343757100789578125/78323171577789868621278160013837560555787522523356857598468482978934833296778245594792', '-3103508484908290342868171745075419084529005897948793806644097634117282726501294473/989192387428021573011431500054096667889068665908349529953787785157138553058162305', '387445208299140479491205772213596172481454686515393829684442252198790043570263/134953821496884911820568390082182185551789998844659390078369875343131505544632', '-1/40', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'90539897846423885342425/6673640649216111790602864', '0', '0', '0', '0', '4935542543770717360006526953125/15064330873087630582503295797856', '3544615296572993846090141135546875/17069826677891389973234139246484272', '47457285891681098636442355735499629656205434725/231740240106382604629794321851908731522163825056', 0, 0, 0, 0, 0, 0, 0, 0, 0
'1496387416925692254309409878366076/216223354403135981771469327501665625', '0', '0', '0', '0', '233080769118300514148546292701995304731/795679423102304680282477120678717519680', '347585241862292612931712158787610190675692626/1563685431708643820885944324515894822613213605', '18780396686821591675316103228347013535001648667215081529145938900825901/1435651231851718478754562631879933669408266015378387534966589074257543750', '-4374789197516079412558434640051801547/3278591696455518794927842331961726600000', 0, 0, 0, 0, 0, 0, 0, 0
'767154236362779744490796713120647203799429336361/21060948617239322508900149445209983880377912800000', '0', '0', '0', '0', '877662906511421288231687484532957256722677412650977/155004194546981095555740964371691738533323778412216320', '17312769190447438982502545810919439778930562655190853566471/152308702367739226197201079773279007814632413759438207317760', '8469536282655075969194066761503037103420475514982292386979854283685486513630407579991/839026207222697267071138055044464889717324121283228189362777002242867497521676054400000', '-7616833532906796641467310112651434312299717812667027/1916081214628193295558821720509854888279948623155200000', '-13/1203', 0, 0, 0, 0, 0, 0, 0
'958420581536111200392604574358716089579768736243/61550069037060124768210350918155935532819210790000', '0', '0', '0', '0', '142384909334399005923890733286476379157277724580057627/452995686414202930509192611118346902912128338635134976', '29906406743422098039141263527667266435822364243254026644087/148372727111412515339423749114980609363489449029218400154256', '181536551573600244282703541029252155041457603013152726649408994466995190675711228370033/2452032048365967703556879753631081835341601241129406400435225761840804259680513424920000', '935783315097364918368971610161057177887739681482187999/5599697011959106762448497292213956329082218936495360000', '259/4607', '292/64693', 0, 0, 0, 0, 0, 0
'-3401762360980808796332740401013199037990578747143534665633149180099146180450041648809536664223495449093202847317800053630606729084319220442489908541525906398458836162547/157750549542705847817007642907829628068856929350594550214152948752318411406749019847307806861152997038321124304063327893261149858074549212015022093259119585272618979537500', '0', '0', '0', '0', '1200752947584251851477756335880324271476521846043064553153096440815102925309224185002444258342623776309313827910083176931600231302517948262136299108966051996941482147090989/3007800992474920716476469465881664792952034532932554385621136816356868265083406812486110338465766377542959647077979295837965139421084097711939714118189389044733074879517440', '251087383212385969233332325886519536639387217454839163958167468574356492378823902389982321768870526767872136725976287066862622486727407261582923055172286163323724296070219521/615471872173854683545676113890569999339769908784683246661024163831173019029907455732427480594484701278505263929416228611914177503291328931507781976846210100760251231120353835', '2123705321164706986652560306095955999695999299103178824870907804340193077428198491018752255819391459388470934660852757417744077466725758255206428130544452807543903830040999513534909866704244437945538398113/16281003660400931560444524125290547926087371681911948813074443964895870505951528928467855252494261227706066865175643572718419021209995012951192597154237000754827537003027061686625404650121083271860646675000', '-155045763888786201554291474382652195521135762839848840566031925844367858323491026096900552927483392719406223658242970367193406338464202203413625908868617543239067664202810953373/5682835883125448004912229912567850360669493150037003444283862066294727883609418286083789079139514423117859406975773910549555727283136630271848503111399950824889054243944671200000', '-3540965727459296586140875638866025902051217734823169961592718687929027316436300630419736460096806379766909775938176156311152108037/86625816175848914145585624204931184389521559215396301928385286654851956411419426554903344121678943428060534443036411028928607237820', '-1737613431667567219732986550917781539660523021457087376163692137196836596884275193841231482912731703536273485079643900512/8569548424787213667214055438183190607837998169829953817381596517065613927811326475404892906781992127772218963421906910485', '-51351826034559917989923863879366951825614091062536561709220999047375873029142902597461975472590610582/26117869650556275118937181148700685470003891915156740765819158236394961168920304950413461884499059622705', 0, 0, 0, 0, 0
'-2751529379242514048718231525204323956003431447760438009571661942083874694220087441172787631419764792912238282/7826577506700162821473405736351645427681706560526478448684693171548470384163372785021117288357041109818478125', '0', '0', '0', '0', '-6526803022444429519515959869940650302802391992470777545655990276751905664544348323804209117109/5547541464226225712924661978415208486282439846438783635146951741239114143026646778587375007552', '20137646779324303410725384818571494683471754661988924104844775276259363831697482826681117872755505470/10902141638385498000293331044305684981676074100277039548624886356686260171104166090974541559416997797', '-199914551405606398754998439236774001315492770622327296813192579992921469691947431522401075757397567023575565614289373943153/137504272067518151816114197527307395066490593443688209135080186056693347854981287554757857647606088913415733602141205831250', '179712118767050195295219385845318885529537428244234468618162429518194281799410672330827368886299786863877745920959/42670536434453710616099991864064599581075852664624993776683264937393143590812338812351744853883654998387704600000', '42715333394459419305121639910242646378001053320037973646462269098071382/8121899779737478267958778439102177881700568311138394031068944547990565', '-1234647075222067858533591390604775930704688373649386864806884096/973297869545290566222444480271409051140994518651791748189884765', '-5687394715061340062751735209335869135249168/7152306735070366977581673062042099296291435', '-8707349142264844471738044056759900386523111945508662227935870782379885351130859544000397552807247087052280/1643515439949768537342484233253357273739454948248385600909444285139695487535576810781848353851858974388231', 0, 0, 0, 0
'-774764336107611057515378369458092350102960981124056076795678744730128257723217186702514874941573381382347628004994166261756/1731890503668599746994279000064088640427162359091089832570420689240187259622871550876276681425900976774240659809207291244375', '0', '0', '0', '0', '-2404038027871191021626652090644118414368040756096305144428244989242641890908651862966553405563482373/1388383776672893466172808085632281283399602931122848919960158313777427788136300069258540157354565440', '6069520246951931742983394442452696966874240376174623563738357984715459490737441101363259592781919002429202/2728480116702596271652852836740146555329341381786750972130219227058775500706123887639832529024000169424965', '-389475191709349604569259219014349622685393850708631053911962878273742224825571500164675269499784491032222172580078443887038131324051/214720525599031720537613573924442010086698677778951585144853743641007638788794129412497171880969311357239050375624125296270177623750', '2826087557676483036764958595483939054068175081955744024205747384769353207343709433958213261734418512825085076185359469017959269935307/542637105923361999646408754532086737091712981072431022177158763866807811341022014451322598809437861079391451504418480730600766840000', '467451325223836349034752328044398168824259006225254251939418434839637425732711302512896/67632993093671051358160612882786840615194132081115367819346718410464022093512516898135', '-4990518091417719922701967801142340599558148041967140997871533043168613470269612032/3305828778407712687375365465787561745740526124830460496456983961781248026978926215', '-270281396349402918611609312875161201643203707388902411034112/285577582106520194020622973118356612317286552523904045247045', '-296262352482384678283439512353627796569243546481261770082123843728436911780921968882332267451078968398972961830482174315434733924118836480/42972305426870345901918665781958179205483332383546801047389552587894644373645962142920025905008939361926828815815320519881233139364428283', '-1131979786549316007947392253649073424655680/101208522074076446386363779495873532730518863', 0, 0, 0
'-8371996198241109977248814741229362991391661490723361120256906772829625224639042373419449647106916767610974596469861959/16239321778718981929445787898959709861162711810238639786235173502158763298214119655932556651309659352557707441940387500', '0', '0', '0', '0', '-402317609653892154185638980524180021429710798064107273183900341135296938813153770380045328012975099567/185454822898763028685064701461754678667248312774779256447430087859552315331301226602029077402114410240', '75342926738453650874261334344784013041256951346395424009546087564480119833270592524015695043004831846946719/30371633389344754913765277526471117078977121028264112737993883013358600767800100521249753360878441382961845', '-99032833978825351468636661607719524392477982254897762556424887961120737810285819131019547047123025931028550755999698276848728518994847/47802533320583032619811002582959370123906534213237459630065252321201733952599856368539620679580123113211011633835836110574025901675000', '681818118239795243529962639329784650394797485343822445867881342274368633104296224289318060962701032317165675472038572789624920611963/114487682398058214685075503951880146082589473488483069041094163934610965029891535543571152642573637287752169454431843897512888800000', '923276534741825602227098536425532659363995022842121191961012286548062253408294957/112950597288149936357443497496066761189822944736940037026221874940944927857084800', '-2562738744400406025759343746081599930354590364915625149670970022812838195149216/1544500089860356078223520715625003971085303203129476282871728017132615801964995', '-23566918580890157075772751141448004631399782558545562/22014146361608951251451630267829350546367055010724479', '-691181771308074455637706737536152270738144581930708026937702868404442489803301361988893735915490002072873987264714316548843795466956998014786933572/85232869648215236890776333157769359047719639260116678998541606431668110675513398139790045630175554226892840891149733235928673938952986935178279425', '1399579168415165410919620660824804834617502809255523/235774645077610250469985954655477629059197085467061100', '-5468730954886127105808730183550387914723575939073644519129/267483096292719279683557437894227199704252908260428402684800', 0, 0
