0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'18/419', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'61644417397209/3607425825422500', '163401208244091/3607425825422500', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'5620347/240247400', '0', '16861041/240247400', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'155622774126685468735/1442052830094324820434', '0', '-165688475743850269375/480684276698108273478', '310520807730789658750/721026415047162410217', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'386321000501/12429800831250', '0', '0', '51047757515854534/406578583220792175', '64131910141375451/1145276347689168750', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'39266871634802781976/1527877496381422913595', '0', '0', '71148482961775515561471137120000/3361395323885702114153873500791921', '-343151278194681773190868/13068985850082412095600535', '1823719793809285957500/100411266793499299383013', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-5671573721980012146012854381252911386197679690502478981590012808298643/2172403001446913597612467967047260825026134853614137710131287952093800', '0', '0', '1353420696341031029277672805052984787914510035031724092463317226195753241377607750/119484469598404814616634927514013411204673745542547323896353375845997377592154171', '-842445285665509670316214243544677539557819148488865453902289320851082927411/18582055271988019355435986689715876801845226280352040341956311962908171400', '118230768395033459444052902189848406160388429192955944137245030112243625/3172647281792417983274543227525307114729612791050793381992593959806456', '-1/40', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12132507054403544241917/45805630834372436928000', '0', '0', '0', '0', '74729658891850301521193619025/158171388279003501322454332416', '-2587537067186728176514274230973/8731668165220371712850218944000', '9231801113938046380999149339596213001996723/30269488828241576136878810331919216230016000', 0, 0, 0, 0, 0, 0, 0, 0, 0
'343300984999588871044905683/1719932736687528921337894752', '0', '0', '0', '0', '32406126502701143733605374724453125/77694911836269372248080570507833408', '-58870499876448782447080462865449817/296452777357377561613841967709272096', '1377124963476368442795441011827994759668917195276928691317/16377831627758839652208894042805276443882622102374963628992', '-43386203375113394062827833000/1580545860925427099491671298503', 0, 0, 0, 0, 0, 0, 0, 0
'12303022533522702167608860369141404938783/1493573199375156273104943538368814157012880', '0', '0', '0', '0', '3291481106279421549179190006421994569209141859375/53975616869742653490257167805203225361820840710016', '24085096656901765631055082920471707672519878506527/257436766971516069420733146276654477645951911928240', '70318720155883288730418488485047544380897106491739130202221016735514815181/2673802349317205829671556156304929187249972514861012013618259016668926074240', '-21496096046977204592543876067307961667169938700/3019019109898751594714244552828476314325316846147', '-37/1040', 0, 0, 0, 0, 0, 0, 0
