0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1/96', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-1987961073422/16086301846923', '2988777100864/16086301846923', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'216101/9262484', '0', '648303/9262484', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'20744538527574673/182420477347656250', '0', '-270436364963253951/729681909390625000', '330475865093517759/729681909390625000', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'3850751397/124559514982', '0', '0', '14832069842931/117953764862962', '10822511718750/177015250482553', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'7086837637692422/265422978222019713', '0', '0', '187317660247276166887750625/8149588180459228193219318547', '-14928930885406250000/608911294869722684151', '6644170115684096933/411907182288043719069', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-801669293553146286763657852588598147363171545855547934683071/50464720624761943773233953240759112752002760830105099661500', '0', '0', '-2356920097259913403307708266327825364986899194256860622332308010349271/94865913565202676122315662786560049811511523708731091349026971769500', '-3692884619514573829747289755345072678642765279062789617862500/694631759165002027816829139857685475975988284587192408829863', '14735891771761248111364972373944121690947984917913715371908491/1598279172172100830707702573431343176932157899858428303775500', '749/20', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'207096916765722514/881324706544255449', '0', '0', '0', '0', '38092801464592147220133760/82191165240512227616236377', '-33202651803657867256888/130567525236007688080749', '5353223638529637949576218210141545750/17620139325182024474477820826361166159', 0, 0, 0, 0, 0, 0, 0, 0, 0
'526889713719229641397064605/3197718841498370761453783704', '0', '0', '0', '0', '1094923520649631238980995101432408840/2747002579719053431528541446510597173', '-484233433380665502388405878746775/3298488915068298531400744659481702', '8247383993997601734236792101724709555622403160776835671875/109739752699495143321542876999115127047579221706619877169744', '-1563657244076717660688475037505/62853310529132425629528762688336', 0, 0, 0, 0, 0, 0, 0, 0
'549683710287818025529713473482140317668033/12262664415696094485342644694062208750000000', '0', '0', '0', '0', '580655329075946870028907540041823460254688690568599/6583906460715054192397699423497122450419400097656250', '501043238460442665943750676465902738656457790649/12649099138879577458698703213034068398862187500000', '156021996290995726170842445797040794885687884273359843580326825884924807/3366654361106560480035263079940214426922804039587796694914879025620000000', '-15967394898291418127315577706197594242394717189/1205154506443623424279596789343386873612500000000', '-31/487', 0, 0, 0, 0, 0, 0, 0
'-1771669573580872957765857769001519903782197967001/460148945652100020980755138400415501959520000000', '0', '0', '0', '0', '2938626757890364469352039683942157104211473502401261531/2205866459963810218055010967184472261118361549524218750', '377481403425944925519070773039647220276652412960112283/52738852348834454116354186244744377194286463640000000', '-27093122636738184632069967149946860513141618791739325137516916377384580302017/18047376539791966596375515140216265095841595107407141708514808003048199680000', '204882885167263746014056211573780231198651856430297/239273450660600623003648430608882753231585600000000', '562/325', '-284/59', 0, 0, 0, 0, 0, 0
'431576987788696385901960336147838464885440410173325580262819331247197177842630210196657791665293214350570322510665422358870490033993128025302573221293410777/437845266673423065425526088160013089788623360061659598531975329947929572683739208986940851928591062467517512347937356070599136420078925474770705035590000000', '0', '0', '0', '0', '289451272115352661567975311857144383490648178938695999608381678240615125888530886160708387160834458306026048729583680753437362442408233429706624152232824864013/341150027855589745271738193617027284302055331926869813578037593584367451592987147477727179165172086582099849431323923185935233774540073626177623480073474218750', '-669220539731704680899215018085150531961592234387655139719245400941000305008034270102232689914666485086653542220198978202490216684302705873511882948494595598529519/451643133816192617104647669488340660329807282832490760841241429317199491249462939081414487096354555726048185217599703467460727152780458442560019554584337857500000', '146518670352983593799985696686320454111338236491192932120936673485734911036166500911529209636103841845113386039046498467173370133153297690593831867110125288370278646059654132200529/249163680414927511714022205812266252448421895818276300207081095038988723772461796288500603942134991300621102342025578554284097247463862900874621648285846049951483952063918443360000', '-1537650402515315254985291154806569471169762492552988385412167604194329036349323901259642394058887829375577315062659426141363416682935585352777613364243840241/8840119523302003167710560918252293741830213923812917762931544262737224346225097832768862381115035460820103460729353338383437861978803066691638374965300000000', '-2053040642188557980616764644047758906652451041954515122415379447726564298431182157252283115782998904840066516152550922692673/3973854954299793257483977733909674200311104835509079233477765854102703927631397181068177736710594286828733069524580995762300', '222616688196256368213983914803811163038416678336618667565000559872061722362515246351652728893780960864316884856492093/684143981412673236394530308412853205127707740444496148913058799475752926173599952854134997401313103087246528548427303', '127375330512888312010072474630223468126946468357550246961343481025437273403461376029730048323546258155024/78731193945690846424234173580052925640718742445851832448784640456889211292871910970629307000659736969289581', 0, 0, 0, 0, 0
'-198530277209756149408044661891797453041196168975899401478714783378902401066065515325747881047776297873/80392974587622936081932023902169203532396281425163956635896431200039407464610029892636134524434000000', '0', '0', '0', '0', '-13976665495810168257845738456602218224449839669107780657819994119165424739839357421078316191499/4361221976217605975503346483406873788415910933643251377279551437946181328930792840733460468750', '528056870197054138554751754984802012924592081939131904879596475645151773588707927342066284233/136854461920490719343629734907735034787065289710712227644459440281846992920940519447243500000', '-11257778209386849773209725325028563739228820460976318897441793278709305347841256027384692074899796775282854568518063/5203551494095040323244441419217453576434802225146579009525402779607856679882026600055780999346762653601472695008000', '641047502902069455239496923911830409698458744700234192811649075625765702094364460329774281491186575838478963/383972526678525022536564510424239524740387819799510012972872353305238396118968567928570297748691329460000000', '229531925051632776919947252376039698915350438808723966285651208829122/51044068818850657588146644586158391630329666851009012448172712026405', '972106679473080634923144888216099123183655069928214862403613622220/1544466889480120338790074466878476778307396110545514289703246378337', '-13465380647512775004833669814911514545951737683715520/362019549093720011833670312646637601924546552516533143', '-38862636057820985355352526121168733516092991370535008187937891980220248233180001447090655856481443898693640/21563372359350547778913289022486040704948305179429485249493092635534990647634102327595379826847215812253563', 0, 0, 0, 0
'-5351439058852458934157794898906345307228925049577780939253166801035946677662498469398489724031593586883843191588/3416524745966013659520206275670967729603429104773344753807415810230451415818389353266677351037403125580672109375', '0', '0', '0', '0', '-1517108248494728943705852746978036361610812569730580192009559895141860462479897664537282729416192/300741969619271476336106189008371518497441657898687568114522438136762862583934724367387207421875', '22915748452471319521672914678695012427883440658931693384202139646725960574413876673563970096/12037290638273675919170933309092094511156607532533865925524454834493726736559090037771796875', '-895404519675415216014564871717534402305942194975058169654445914985918112433851684671828396237860434632210511829174/400477106890246816385095731829066621505292721463201560406740823000965750251019186297704796761469900833787387100625', '1033606362550214510455193822516647689406539609493407023868590433725515635847219252361894265561827769740674030610890654005178/557479601975386558073320801649464978307064458149901118831988770619087602911543479826585460754800912524744203540091011328125', '8527041128773204667109441924652080077851077000836214256485998692220520750997336559238592/1594092749680616299216672543185574383783568169415965711540794625365121569482788797020075', '448646953522452091356976369375003926907107164210046251054141038391882674218458152/140525563800204330616314770295101629381083739165432827386711997575463690318139173', '-12022952562797826427995471601834540296250756109495489480749677520896/398262490637680045718416156230661055764753466864751412165460688082147', '-64712305073500529403645158925605235150089568202735069213711437378158751108778738700518278010320777200912195369951803323448465013080720027232/26698806044435676516671398066922891860558667377865579907980797183402865087025007715698295151185032323329554510548048177267721556588811298863', '-1508565028535604218960891196143914624852927632153672/164316299969757096685065071333483646324154676761659005', 0, 0, 0
