0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'7/160', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1035676361/59018823360', '2694751921/59018823360', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'51911/2190080', '0', '155733/2190080', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1387814303755473/13007052825050089', '0', '-4390232490143280/13007052825050089', '5542256903705280/13007052825050089', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'795316369/25231473432', '0', '0', '3890699776000/30633701290047', '9046217182249/167164374252744', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1679796265791580675/65008508357899241586', '0', '0', '1022650608949398108160000000/47892749569279395062757605751', '-4615514302415722038125/160763986708692206263578', '12759425448370323750/625536938125039945529', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-57140914534679219610058142883540501643494865424670088634127595173692/8916289281804525519507309802331174035428903500544179234527652581275', '0', '0', '4716090032538740641512835773415848438024912362993446918551511368450377777152/2627505970816977930180340890055275495997009262072140256449147084610051620785', '-820942345016796927431495227549158168018392633901132218433377777366886266/22049701612892054586291860920156270298449794890787432435813949123615575', '5570861055418787069130878233694530245065923239946622515090880176506192/171591948120722914815937989311022727451542593734912297639553273170075', '10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'9615645260684489590/36390847970499047319', '0', '0', '0', '0', '5913703971442454602661609472/12515733423112807572695876213', '-1581382069585360942870320128/5347363943655400999564446159', '5467784123591139310330913472018156969967250/17928469126296474349165023614836915885899399', 0, 0, 0, 0, 0, 0, 0, 0, 0
'2740599172254910662819542677/13761014023804583328124147200', '0', '0', '0', '0', '12001420858505033959444997198284/28772750925006729455957142417813', '-526297272359561173065842377643912089/2656100604415059648780252452877357900', '9711934260554726436748057412356535548968567451563410824749751625/115517009731989999967289354020047578719691192630398632406438411776', '-6870951938917634491704729272843/250335334651228813107012171481344', 0, 0, 0, 0, 0, 0, 0, 0
'229323735292607583203210512456380623250851/10614145371693173449184913382378273410000000', '0', '0', '0', '0', '305828007110455121724741147709423997417849836112/4349827670004269501942778894051510429229027134375', '299976217065628297043615846440513345501310139558311/4097407049848944587578801389158984374424688790781250', '24623095352101440355907004888394615528946010100810763180370132739766153095403/712804641912367647303876856158978409096351041776498939600607927074748796982400', '-89417656122181414623962352751039857095884971829/9461343896903029781845420572551093102084671800000', '-65/1418', 0, 0, 0, 0, 0, 0, 0
'-929041880557874561559012894347074936097320205935403/270680583223858617774555045195895741290085281900000', '0', '0', '0', '0', '886981364703950859595261844760444428961953060837297907136/443715004612646293475773877403592686828164330508509174625', '1306190767592271127464976789573794592872435309499043710974434/208983105303322209713720286177897730968185028210769659684375', '-1013526621775547355874799924104715013072268791797552179968314090753686974954824955722191/963426218538493693103816643165678268649403450108602031702507483024879662831562766302048', '157709691567975135841219242039840191260960372842897857677/241281986859265628180295405794071059869123695968256962000', '450/371', '-204/43', 0, 0, 0, 0, 0, 0
