0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'17/372', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'4427878597954560/243893518081377713', '35309357681868800/731680554244133139', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'2983040/119777617', '0', '8949120/119777617', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'8530690583328916991099/68854490995490907750400', '0', '-27997590046327621099377/68854490995490907750400', '16972565558473115228539/34427245497745453875200', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'359353244864/10901622991065', '0', '0', '84690115974809792/629831456916737955', '259635462073745408/3862524851061879651', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'46853233682675005838591/1482403221351048704163840', '0', '0', '201276982910256006270189000568576331/5903142795317229012233683479924572160', '-2185924608620264731210865965/66386599554320775652047563196', '5400017416017777309544259/254108283780713381688508416', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-28875288485909793310914471099007472281331237448277620424092627090786013/14035426272054746338022123757735086908862093676543691093953983230771200', '0', '0', '484736041749111481445582011716719037886215318720738691269609415400450873429817939647/55891085693657998936810037482522867540318175948081530735505937129335088216853708800', '-19014446825707796772830786637085722549022084255530679988956860503437811862061/628549783268745435357193513130914912525609015941335724773215309532661857280', '58458715781541901840426575477845521747626460416509429763326488857396072407/2405902814264040591260566442569106152124324992397056915962620009124986880', '-1/40', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'2982274650469103921715/18093081331630886288608', '0', '0', '0', '0', '714520506951165431516584370625/1592115687435522802004612958304', '-177609735514426858945996680000/1144899311540645061539330699431', '10969988106105117887398833008131065172869120/36113355513241734746355392994293613323422123', 0, 0, 0, 0, 0, 0, 0, 0, 0
'13630729537815404745666851907992107/103934645216377333940514722646528000', '0', '0', '0', '0', '79999153617237964857206885011604994907122377/197328118854235082328668582289222013768519680', '-694726900588025324602407800067134007947583/7136376193559013781113801243479365392007940', '73236564016537842471717059784040497390264976380763493962297159488/812878201870342425657263043461841283200921142822161683699493010375', '-6312429723466545732868601817967786373/216843709132526539266076648235474664000', 0, 0, 0, 0, 0, 0, 0, 0
'559425566033602781112948577398693409934003450011/25913777035812190885775333590651347805764831744000', '0', '0', '0', '0', '127995601222881074878701817012467504037359066987607292897609/2410768097083742530169998887837372039901032453873807447183360', '97942364887230812215493574773228249742204848067509254889/1076364031726562490217429011481232250768341114388169246980', '14546304662621680472463726885466270028028720268315659296589028004370723744686656/472903624698652454406692709538210237506953632850031556415321309274023541947158875', '-3097451750593990973686210591007835030862617302853203/378455871270473469005983313891704627685642125596504000', '-62/1579', 0, 0, 0, 0, 0, 0, 0
'-1624178346026140621213162590796289772192314690119/2914634560093846687076688304875774812216490393600', '0', '0', '0', '0', '12673459689670693935644517834500855469296607813900828958799/27668317609277464879884705049124525377977063365018298286080', '9977763064430819774288511928186884418650703005222799821/7412039821425867796512165483857903711142768557408620864', '-35857669348165357385727272045770718062490453117466684446801866577320265802604/158302129789363976687496024759102558258478959834559651616317764767082330160425', '1501059718336060241151564280088196890878551006550961/6080938338326188632038222247502554862651528204876800', '567/1060', '-1089/1124', 0, 0, 0, 0, 0, 0
'1397244873694151351383678577610709305394852653910088742226955657817965898819709307847080346221424518726590373169860103863325293375085014364315396197120061360055109224699631794307/3216740197079151577568089175476723661517962340333593135554879136726437208463217488808111070056157764842835407136634158671214090243516836824573715665514917166347522863244771328000', '0', '0', '0', '0', '53216617426732340866906504040598938782338055339435682433659237570487119215449484114521294490709865650342307919613769102094822403037855673204452417291281290400570018659015170110680829699/80420598910404312589253546738662951414245763473975677162487052372377935776102556835123323766342294494671049382518173942350895264006798647880886643185936946826806673493939625176239964160', '-32276784383024848071857302582563531897854493316617158356827064807781233561173093299906302231158447153758773485383578418256260059051501304242604021539704169498635329800724556652365411/49524058766031651590216104575770590466273149776933908032190730800048661863273794842060249001904483065151104776007605626359858826036428712389481596698158257539509900985483431726612480', '4083841919641795533851238683208496337517389695556813707509575361583182557326795637107505406080620695507575023306507567726626700127048965900615036201900476818480001367383076680027719018015905469927073249/8012929339695425245851473879804622926857926016661342988152118840228313381834970509248445842214035935245599800029321615045577726224158451742551665662765302233038174565691358890712625911625519817583648000', '-6524932163397709842563291631137693177023596536066976087196983781909350331249003024904243401468116812894773278291190070647034529780954835606904430208755654194013001784962189287901579/59773471215975090480864207897706056560191623462545632814645609890171712363810063294611598770579522000914637365843650693380056266313692811423204488646491634575759110091281167286272000', '-5165729181054813637974408684868232673171544030836695748020299737482373433813933524926795638794113870759219092609610056574557054082722847645/17665556194826750216965247663870633034171713829396818555403402410495549367837232162152499274246370560294326972617668769141508532937230385152', '9684121149755017819495835224885376420224269869617864091828112471860970657479334586647916539755435712912418804346817358797860775/72965302957310051628419743113456570688985208801616592660672233930600360597156300148035961484785138560977160661192384594105073664', '-13908936615333969890087965880026182430878718451874666328322728133623002431198554605844349655291008413212387316275/4700984622603542998612967339918354731133532650795064643158422991343678448534613059173207384546963178076508888735744', 0, 0, 0, 0, 0
'-14067128501255547388340534321342316457815660900178252118104543115578952824321997866809126423378995289304052612323739/4547662746749081443337912780736215812114452535792836784459229360641008418573842487435387964111267889375000000000000', '0', '0', '0', '0', '-10435960431893570744028206632495100953219302328535811471314731668942330423564322073487181445032254426189329/13907766648880414031828721943934933095740372266841593773648128288975189284435979179556521227875000000000000', '818926273253921725479021147533922571713122849604471095487538299246654821490377704077775483248981940113/126882740317842565841397047486794142572115724136193382068322132123234929008270344008968693383789062500', '-64685785580618859981403529175923060723902634642700363320776902412998361374870046973856917891687458770067524139617835456576/26813995141564301677781061728800720324641941941914132462850568333435916606076711948345880503508997872409626522979736328125', '404749559707934162562010463061084119884728407062424655179280351634906302508541511316375073869645118162610083240348372213/92608613524615485468590322053118532175819329710874145831221727277040355180240480518349135702121644704492412109375000000', '27555338695160260616336091014413744616906203763520602089614953395896867184758682/6710378726243940117892432068849845180828781944162936443778116658805267333984375', '-968887827905459706209295763353400170441257616982202110030050804680244/280582653105531245519502423342204896764249394007617053427423095703125', '-35822722147517588585839604930502779266175529015808/40372670744562900480222933528396662773106591796875', '-99608383228931770759147683747852748170647691709535542292401625275359607330516379679364341165970433419753564117500525543424/29633655037665693972387597448760180042619889066735149042593969831321623904606552604915384584225544623107353875152587890625', 0, 0, 0, 0
'-106524344161538977625683514499351320636560184059675211184548465211458968464240008281911153388767376208705783719632718877477407/31674329434358264875644210275751074461030611935290670851103153036576744140683142808444775086343305895082297965266026364760000', '0', '0', '0', '0', '-185301964283156874406692861686220307165870688230325515059830323747208533002908440413973480832382093687541/134630951650218925674836580281191449271974015185027155911111482611390666375344455694339790456150865976000', '3658649782777839441298501218038212352127031064625253734926477840745782110061907744818398188120607464384/530608028417623729457241150671664023962152084112051014815930259600739273758541708866916817823891086075', '-60355646930144302437574855563817433200015391988831091517641392312143082735334362014650011616527052324137568431421942540013568/21978035214586470256406750439149422046568231795105822828971321407775366412201981352382454553766417278976344870574455088504375', '2875841263452663587369046952750982895021742268427069189186322050993620554014099103601660300168916561994176155715231839422549486133/538986064288628722416222321413944433748089965155835045657960979883027778412177594997568793532689268338613022318194001248054301875', '4924460130713575721829247058478461906735688064238259752486213073968599340232984142714665729121693/996785359863399766510834562999640032088114156642169733689502380377063758150098896124188925507125', '-130574691947045130380049741606619300417295801230261468906445638843364282867161271174271/39845244784044579260124968949390972464647903102043321865900347736634556763451759275650', '-3152222971253265800127754525485416002903248438716768558252478653184/2976827095156609234716661051770046153242697373280863739264696293545', '-375926654524828791017555439600391265219612832954138405770624063589433591293693298620019220091047472198668533872228556367158220701557793939253868175556608/86427473249881143590521155017028821971009889536759190101995460197781887998089261638393213690597306341459998501638212721332640417704210903088816046249875', '-3464689379398115002815717784858880707585067138671875/309857586577926419595435532479971452053597049987583522', 0, 0, 0
'-49779678532872312065311386917464214039493093762634989236093241549210562130995449982373999287661021953790577227730388532351/14155409198589124014620075703316334349545385213562752258656586641098017445060996496973656359465369425956698261998583296000', '0', '0', '0', '0', '-1431775285085954196300891871433015533036312005705262723074556581034515430268371441217846085561426325623052957837/728566376529820103588982173602983515040171484236987237171966530806079570862982551644893795079314029620747857920', '6368037198669070379426536123622250276860864420830953744112913184663264517667639535340750608405508176483373161/897321445875219609636126285429799712210462194513003197584389918519932048106531688555053613086029748970115020', '-27737882567313896010720598880816733605737083810402957532021609867993062936288146409713917980610857732366116327800413167753794335936/9291869553435781743799619380662585034083799810230533227969502599773322324879170384076245833247198180770341263722193888248445887375', '1350371969675614944287461180813945704445206276337456089574590788623024846596561596326749341525162528515083951456487540215082872809/219566245192024718416602118674719336131381176519330846242177581066762606038551791315912385354553868878364480429538355399704088000', '44586228578572603236944815163678222070973908813664760518251162849638391731562125772396161409/7932160652836069473633035501893051175830275237367275673781198592440352439598079146114605088', '-278835532428843155739297488287218851215411328602076300732622117630275922660669509670945/93945363502602261369386115793348463791999672313738481360826689851063040743290621442752', '-388794812923358461641853875149542052466943623679986382603080/319011079361192811599948581834935919500422455815550010549321', '-51868357005474190777934550530934639890964859420406263848191801818438731879931431619600439528973508113655111653407428313496672880217524975103443773117407232/9975585348557740728135105216313862511761708863578061705358420115571084009996159406666381785086391417648061630830296165124653316651130923423230471594026939', '6599560381630834667670539214021225557023138961212418060302734375/660729076302224153654696956868150834369478603647512344266203865536', '-3059213122789344841268153456899726082598929335302186418304400375/125060626573265568118364581184518917038969924471602142756286213856', 0, 0
'-768950891873586781210157774140505655144637651156061085539657756648761297210834253985888192150437907278347303634605171427/177888349854707696003658257217902620491442290870418802879527605547825012146555256424944140472506380558605769297966592000', '0', '0', '0', '0', '-16499920193213148456799135047247903393648537780574082226233499811972757191743057201216181735412251348204566009/9155755843033557278649866392007142580076594783078289557871983270508266070782680907428860048157071329111715840', '172111464220678193447093692106879665822479368169073305816374500588999770557913881378052605758077819214178163/19477537154463413698981039534494937718342207918517072358535300717724237014693195769525088604104037689141660', '-7744245931232364295577142534961712666645470205594744570724557280760306293863150479818040273599959326674835836177431018168865499968/2218614174694583660685517979318413629130665055656019035276656984210460856168553139916530300577876346143310105356168656210940204625', '119075585054266154356193352471035263259530854562896697188325348841804485270031802775577230721692262292997777600586782820348971/18878538696739996241267565557267597852138708641357770251379849798189631561044289553211547729774466348327322968818986175272000', '1550891153840164321734862723066701175973114186902825036406540002668856536995567559553374/249501343562203927303189566218637468211060140661777804326257277279316135664032740271613', '-956504052245025325047490194554184494164753278778211874081022583350235417618205/225244288740674975099266430243219617018149915540075512015227869455382137671412', '-53217579336624359707321299366343535336696825582056418880/48300625208405726878636239635693608760050808914770963199', '-337069459361388689014803699015381713687690567244375400213684595734052625992754227352726656316209987117255095739884357921083132613907152896/63067199279135896643819570765928022420470350019714010284321869319114643348213021769674544089263425565075608163273196492141866835130335709', '-4932805528768827057994088440893858561053518275789825439453125/95729301657690681696858943453282324869266878662175777535755516', '0', '0', 0
'741835872184249814298150212107/17748964952901425671330169232000', '0', '0', '0', '0', '0', '0', '0', '11624151101507969877872460040576307840028813793/2406192244049128529750055907864548318345864000', '1339749300439942286956837017959403565359098038487639/2096157347835502898164390896147203483931151524600000', '42515338584862572831054332658351938637328380382743931431/174564878879285643463898546075168993436211520909013040000', '-551377836097682926034050653128688/140623348636862692513530442141625', '-29069464223593125543352097496379618283241226562758227941838366542846555506597261262427592760312017555071472053451806812335387772035369450624667270250496/13576776406709000866525243809446225565894390293015919107073827337422947011443213634814103357148306321701092924634194094015428719878481121294296948196875', '1349958095957047305375830810577392578125/88541866235412876467660756513195150464', '-4320857821028378829887134504367535201909/167589132467693196795734490917862221440', '104472691411731952358126950361/8821812031038566316037102500', '0'
