0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'64/845', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'453289016/15026591889', '1198149160/15026591889', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1684/40861', '0', '5052/40861', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'3968576377864165/16541821469892096', '0', '-4546306918227925/5513940489964032', '7825536739845325/8270910734946048', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'7826943/145165010', '0', '0', '25175348361/111277538674', '104995735488/785682859165', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'64011896977804359/1124735390500000000', '0', '0', '4534372108344453562880127/63582892584292865900000000', '-8254552379117813594847/163410092688872710937500', '211057188271020189/7116950356925000000', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-59740428995042632008811041675911170487363782058197/578188979431010867199088217452216431782879100000000', '0', '0', '10106178391252425643277015033476169802332527008118964783153/10895282002356411505214230077919337059322340966753660000000', '-47376393483346358341845814872036540226561306413148385097/18667485015891280856157501947998830832769862254228125000', '8879534378322290800490527580067554941178292383545613/3658586987026647024250549413320975915632052235000000', '-1/40', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'128247355912372/10487634911932725', '0', '0', '0', '0', '195101631779131696816/582371663252977050075', '2530698583924093235200/10979935173559419040449', '45461021904849594240419468276/248514394189559613087298520705', 0, 0, 0, 0, 0, 0, 0, 0, 0
'78663902912797568777840/7379291101184376846071607', '0', '0', '0', '0', '9362203215770246821691660416/28747053239440813638427107531', '1017385422097758491464340992000000/4347189202933780151480871420066363', '32724381330219516221992803413127723871037108600/687683117208041816168588261470665058848520182249', '-10877967902046061224816200/942575910166619740079561619', 0, 0, 0, 0, 0, 0, 0, 0
'2353876525608014166972623981712059/57797402643989191678501080078947712', '0', '0', '0', '0', '-204064745823254460658259580722668751/182940719217081002754165057934838901528', '4420393299464138808527716742580500000/38782111364758239989349185534661949629', '22209574542502037236242723859590133053496026702744000725/1795398206130645849762174551902546368833893489936493843328', '-161198191265351761488155406284602475/31991316533456348846198172360844819584', '-1/128', 0, 0, 0, 0, 0, 0, 0
'14950990498875586397339097787221850273/978821357952967212214412566010726400000', '0', '0', '0', '0', '73416583085843255416838870727310789521223873/210675682663662387860709015453599850508800000', '11864601995770100260393885067887312055/52543203914072359562587356993123278304', '37246339869636711598256914209111939692466003881900689972460603/372166535600823091580503146485422981543432587376692323241984000', '926028615164194234128787746244734550576237/6631452233220851795279181505700097994752000', '21/3125', '-5/1872', 0, 0, 0, 0, 0, 0
'1953764784951482015078676951423224934946163029530877756471410719501794143353038684186158366192928918897872240638204883138206694619165361971/109209063722622994079593142840885803009935572364424316536007343873264001714408627521544442006312110143439234726041373149810175321001164800000', '0', '0', '0', '0', '104177691585115512471650974857801049559109759762731352092476209592692943714355297149657719431649120233058537803720957018955256742355156262017497/345669247206533973083292592486519204886656844340905490234622364633084430802786630740853666159986397508719091716619082075508826224127630131200000', '131969540722875189508514874430287713468176745151634237492506018781468608038479593964752711214194462937998230122776317543600199272525851045/732793841519141755749886094238491727394830609088580912450226057448841139578967047416302228943841725252498256055745528336624937515239599616', '8582425186649647993778035508651882192732031380437503844179115956059894281477749203787183343201121649303191408317924565432715427385168288359590928439364154321103/407091837621591061915738019910370158689739516586135910729514575688487030542244079715956903355339155889954819587617296454291677383130874766928878606409728262144000', '-101921363613861143889727968830395812344156162399325946211516148329307956523974907490801054996838932078960099853604606425282808595782700452784721/14630852056432413090567677973901469410472928330835280419863170124459656805933519297251658637892110373022778903933603375620562423997173386706944000', '5204580453572245435825509089699453352674069352576039920299613980828802258100599236224282749291152664988731026609/713691551432521223739669024576616119501159697166313755205076945324579233313344041501082496603926444645790515200000', '200782161076323604768321418388589215426691725411014790366461465953417190718539777864661217878835193658957/3538381514291131500940352129779951013887752588826543159172419163731181126987327920183849760059129621446656', '9734856490741472984054539379206317483360843519276072033320438444332919773357721273599619283/6336181768655669889733363422790059309575488467019251801288977918112620729104939747837874297905', 0, 0, 0, 0, 0
'-5678902144015943352293689636246069832907619301488239536520043077144602210708509227878776909/31461590197929342013761920168700751323336116153169784765171412968297769627384441182617600000', '0', '0', '0', '0', '-2886700064114247713404395221765502928884799232022100522525251029836288459253907121/2563865090865401367845633823419895656797935969772562375583854111343848565964800000', '7116751581624269894116336175878747328459937213438524806326697760302109851315/5435208842716417958651366721163120374607735567451262592270092276775457777664', '-176208112590681075410773678824741351269678219440654903773343055419739977165948469351162325230087017/148497191380453850320769297011127731356992847760690168758771711690193911063301014288318619189248000', '9616060276450162158745925003540303379330851995031141495167311007301255607084777709927465176797414489/2359630146994548730765643607475433466030366724902988264633788989993041353151809428090900356005888000', '-155683376106838674283390570875992466253574852137803830607497568404987/8359011334327189621497576134422576518114451246136149870038220800000', '-74107006783569375450793699553964678690271210915164362868989345/83919843288604384581448029112379959731677709520403098813464576', '-150328268119945808012729683673519708619639734355/159436115535117974985535089829544602847166805276', '508500097728906897977737108456131720002645749395395802058634600521809201334425884478821073175065362236025/27438658054225690668577361313313046742145436147462688258074008036885935198714779435195153737839876884628', 0, 0, 0, 0
'-16150921177156359604394458973201113187887431355955910114989488652504542979303237532877218185761570963713157/67360114736940571835162743773016311732874851734000030615639302934830152403986943933887283200000000000000000', '0', '0', '0', '0', '-2616521151692415853107103031668708536856417037475081875560120602874356289272717728207563/1574464302923598162438276273315976564597968989465910851852211280517529600000000000000000', '1068323399851356634171635888976842543185057252880443943155083176422584012613949389/667550124402465164888403771405941298355101463797538322785548522592665600000000000', '-45576381672401667232339606404317385755677022473760185887954005339192098343015313352317570364111123612817/30397273728889389961811867023901058764229744485553073870951676225399238424303931681144832000000000000000', '13969227667044311189072540731958533748860820709703562572478369625511059428767738889565953188044175796111458853836007/2754695744201656299686224750591713787442111651787088054803658315931613949951127624612263755037802496000000000000000', '-220226234079477359736191208938814094513370249411788005256420741438968960366671189054487/8998460021138262926839500825490452301633539160993575729722584937267200000000000000000', '-23993145835822706365676676319170684976527359009679594344121795053246601291709407/21975403865645190870621126838405228849515758622069438949525458780160000000000000', '-22628129086272962465559998972164047321990508005426688053239983473/19822391722539848631346227066153321492533359345664000000000000000', '58339615968050493003806649146272322579741102336738158065114678990985960401250387055796734762869880392977301751834264344457476564209903/2387385378449066932360586241296315917600717061308131184630691414480333012171796269551518969575232542303005830591854673920000000000000', '-145732138290806283058779365061390869989807749672418386953181/13033079123714063087532130653978244303484747776000000000000000', 0, 0, 0
'-16573495781021674100556889845464343735734792026869659171585956044402490881334861460180885309501/57356520219135446961887213809297644868451424685105055878601141403221831790777469813869772800000', '0', '0', '0', '0', '-88372521970681685518016441146862248529161153509909420674071234285087594752177156913/41363649638334499459670854659753309546221659519456134985561414489378708071628800000', '160706653873518506300512209087971624525882812904785947725076107752284764062195/87687950150845949171604563618855404137943481190252964989759999582579391517184', '-85410180247600924374373368993832718760340548667166612784179747039372600527725730693431495382572262487/48713630958163403421922057599315749962402691781280645991852181390159512631276568995368100442669056000', '3920826637573606890226913276406816286811690125148757731984745820270558030624710424076051467479355358193922879/662425507517521923616253452715788019162309781955008746255067564553184195704743178823648135798439482228736000', '-203339188835235770674842672450668703789559810491053443167895273825886172893277/6887923520855406645162756291672624841645304858510610134357455369345433600000', '-964331050811669885601786140930827470338389366442780845210690287190815/771209929582045896610763089410645797032590097747711254810468896518144', '-131309992575127188327101981819452770225137673726/99118069352131135759490365012315950204122976685', '95257803285832864913276988010774481508603103997640550373643961892339115072513472321145255413160061462590911655938468550154612974130/3224925743635532523215100017589238179638482072653304138554585665539713445697263096489043581152495549450881373166169732653255819193', '595947111296087185651316614941575740491758737166343574404/60146604965860987154564947821160581512312900802147169308995', '-740763827232589669132516746548827802208514867200000000000000/30310859281414046713713145479164398248935724733149740968835083', 0, 0
'-6456567757628289239544591025169129872493607262216523251105647869859207509047678744190230217/19165678305868813607610132347523843162874924013356871942188221141226511226247050303897600000', '0', '0', '0', '0', '-6882733318220481355780054751543883567202022265012636343304010726159905166555761/3168048154398780218072212594562152026444031178729009390019281023564181913600000', '7115278998828699840967974930761522185472454824335716702528415964194548231095/3311004419972781607360649279365186748095898894124659358049280911113430116864', '-207466911415048548825386239423104680799728275838728205377763020537272280674507871359214587265695131/108198545583206363722763345191933151122331749570952227296864500493982968519870564600528827056128000', '13406205550814066311767814818676117468655097572083583793113669359249439446799839204976724227943265570889/2247101590090294224147339621050016368943677389307973280750707874974152218599065655788629497971736576000', '-678346281022711105530015894588658940494217374601965601255174398415692881/22311119510196068048271429890593157906131222720229239617243073740800000', '-972499091736905395782805019839516666142037918618694029138973755/625256537604334511295105758828705802796729551684547078393868288', '-11992570507349950329107182744832086658233902/10033763146146062948087343003606865009458245', '7099091894381371053054364723307445951359038691852510074151408216457665171315933045711895293694869867021964069818130/232627500456878697642462732703602259639917542846499501100279460983329413060037608176005788446055843373915099936793', '-70808985464146286936451866647725476012212096973831196/1401031648939136469887439103074811313871001523358761995', '0', '0', 0
'7612924977149419167127961561/177837300630446638170802176000', '0', '0', '0', '0', '0', '0', '0', '126142849986275233211545918501793424203125/27694664330581338584692741853442628507648', '-42909342467153641027490135999643445774701737/6288868061677706010813685463652120764620800', '168420221544879063822672174095810150391200087/669805766494297668164246418815572786626478080', '-2948722999432869818797105896/695200715720883820604828375', '1176252835237982115644618998161753749216080598171559808002800366435005475893554911456097662510906448220801904765593986977350064/205305817257171416826360695061405686966695043200900896841855077089207864270160436119303413725741673397753835121365486727547585', '45032797859314251334984452567815835674408/2548497570700238613899415492187454411625', '-34033346377512679286853179801600000000000000/1134866911702156975741354334667371703616353', '2862188138256916824337993/207332533052027740572075', '0'
