0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1/49', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-165952/1491075+38896/10437525*6^(1/2)', '301312/1491075-7168/1491075*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'8/235-2/4935*6^(1/2)', '0', '24/235-2/1645*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'38937/44800+171/5600*6^(1/2)', '0', '-149931/44800-81/700*6^(1/2)', '65097/22400+477/5600*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'176/5103-29/5103*6^(1/2)', '0', '0', '364520/1674351+87715/5023053*6^(1/2)', '1940224/15069159+779264/15069159*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'4336/127575+479/127575*6^(1/2)', '0', '0', '90731944/400648275-170142739/8413613775*6^(1/2)', '8245504/62429373-22187008/437005611*6^(1/2)', '-3936/340025+11464/3060225*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'40/567', '0', '0', '0', '0', '160/567-10/567*6^(1/2)', '10/567*6^(1/2)+160/567', 0, 0, 0, 0, 0, 0, 0, 0, 0
'95/1344', '0', '0', '0', '0', '295/1344-115/2688*6^(1/2)', '295/1344+115/2688*6^(1/2)', '-15/448', 0, 0, 0, 0, 0, 0, 0, 0
'52918819/138240000', '0', '0', '0', '0', '-1453047743/103680000-4153586941/829440000*6^(1/2)', '-1453047743/103680000+4153586941/829440000*6^(1/2)', '44599023/5120000', '518179039/25920000', 0, 0, 0, 0, 0, 0, 0
'258780283/8618400000+585428803/51710400000*6^(1/2)', '0', '0', '0', '0', '19/25', '1180508473123/443296800000-136404911099/147765600000*6^(1/2)', '-106856621/190800000+585428803/2289600000*6^(1/2)', '-1260561943/591300000+585428803/886950000*6^(1/2)', '13167297224/792049782825-9366860848/2376149348475*6^(1/2)', 0, 0, 0, 0, 0, 0
'307213395328582867964430765847473084972824867512957518186088963/5126364212860621132939944111710304798478633358572140981841000000+119107533326819222510639750832411974467191643469020133053/29137664905764716334007503363213354847664112851105748578125*6^(1/2)', '0', '0', '0', '0', '10354821182100230493026667000379184955505622050895245676387169/146467548938874889512569831763151565670818095959204028052600000-3268463788087907168885902319404754223684763360609854606186699/41847871125392825575019951932329018763090884559772579443600000*6^(1/2)', '542371157260956891298011197530777699174343335570401188235055068891/715703215922030799396778727922657043395761853183510539934169000000-2557103919967567420571445567798380600417779349808054092568810687111/10019845022908431191554902190917198607540665944569147559078366000000*6^(1/2)', '-892225578009519154676238995901578841509244882985862325637048827/38813900468801845720831005417235164902766795429189067433939000000+20367388198886087049319397392342447633889771033202442752063/220613748572218566528913954035758258132313997301229239234375*6^(1/2)', '-550688605235770338034863642917595195825050633798073448796494914/835322740042020854251374821774223772966384453517335472487484375+72417380262706087286468968506106480476052519229164240896224/303864219731546327483221106502082129125640034018674235171875*6^(1/2)', '123396895115495738434549229715587040998178289648593721222723693824/16960466422214315122555088502288155618001490986047888958907461648625-8781560217119727637264447549372070053517105489683916369731584/6169685857480653009296139869875647732994358307038155314262445125*6^(1/2)', '-241890129426298647138485610377551406165672225318019246672/3661688723471872237814245794078789141770452398980100701315', 0, 0, 0, 0, 0
