0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1/46', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-163287951175938724532816/516163208965408589753025+42011574289334042817176/516163208965408589753025*6^(1/2)', '232801278267248934720896/516163208965408589753025-50098553466700618240256/516163208965408589753025*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12094406618/239481664565-1407028243/239481664565*6^(1/2)', '0', '36283219854/239481664565-4221084729/239481664565*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'450479172821804238979159483/489985471732935255816699904+65404175703680378526395577/244992735866467627908349952*6^(1/2)', '0', '-1663285823745576633021875313/489985471732935255816699904-258991054585998425691922779/244992735866467627908349952*6^(1/2)', '734303944921586208649981787/244992735866467627908349952+96793439441159023582763601/122496367933233813954174976*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'188634486760257/2753187875656075-40451003556679/5506375751312150*6^(1/2)', '0', '0', '890541395040155939974909749/3404930508779360011084250045-235414842445143790083329443/6809861017558720022168500090*6^(1/2)', '127509164130554343284736/2278805333809176804299525-51090254569210884816896/2278805333809176804299525*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'523150756520001/5294592068569375+372205675002861/137659393782803750*6^(1/2)', '0', '0', '121832502441158811994748302664452173/6319431229672072722127362725145820625-12054008141355156662680357922224203047/164305211971473890775311430853791336250*6^(1/2)', '-7345188891123909155979140554752/52428978281511938535235507146875+71382195182457889488943971467264/681576717659655200958061592909375*6^(1/2)', '84211752143498940768/206389046233053165625+567839841668979868/18762640566641196875*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'92/1287', '0', '0', '0', '0', '368/1287+23/1287*6^(1/2)', '368/1287-23/1287*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0
'1311/18304', '0', '0', '0', '0', '4071/18304+1587/36608*6^(1/2)', '4071/18304-1587/36608*6^(1/2)', '-621/18304', 0, 0, 0, 0, 0, 0, 0, 0
'2451872601/50434064384', '0', '0', '0', '0', '84329349/1146228736-1383050643/100868128768*6^(1/2)', '84329349/1146228736+1383050643/100868128768*6^(1/2)', '-1098320769/50434064384', '-333490521/3152129024', 0, 0, 0, 0, 0, 0, 0
'-11290810941252792923651/1669469461414577748900000-76218489460616423924209/10016816768487466493400000*6^(1/2)', '0', '0', '0', '0', '1/30', '-44608220078798131601386867/1778327431680661626219300000-302663621648107819403033939/5334982295041984878657900000*6^(1/2)', '4768550623191902657077/335320789258483564950000+76218489460616423924209/9388982099237539818600000*6^(1/2)', '76371166597983496297729/1268154687036073482337500+76218489460616423924209/1902232030554110223506250*6^(1/2)', '12837092726068800321242176/73489499260117750229428125+224387232972054752032871296/13889515360162254793361915625*6^(1/2)', 0, 0, 0, 0, 0, 0
'-355843792738780589211336013211266011894384892859307606673616682840321037292934264483298005378753134077/6114980501338466999761271314291724602877525435623381536957589416556451501095664913528943447961301150000+1634253006867467370609841039730482111683170725738988407797492220074165441589604495769296514008733014761/62508689569237662664226328990537629273859148897483455711122025147021504233422352449406977468048856200000*6^(1/2)', '0', '0', '0', '0', '-17594918026040863488775323023688367263938903884097169692619657825340943285779242173824532021369934883/34620197299885474706340736056297763905521990158606221624621429312196525421587764433517710597688597280-1718800244468971293911190106580576895962584281439946985382458420029691073118839588510586218092229/134447368154895047403264994393389374390376660810121249027656036163870001637234036635020235330829504*6^(1/2)', '-138207307502597872414466248711907117101238289950946956575872497287994333538943652935288845283125425999567221/449445892634106961164222874370868126852218761612180707797390011848931329871568905581758203549930436500950000+373422609934822782117113512174693455251869921393106586844571126171756173532479385325874622983683540733325899/1797783570536427844656891497483472507408875046448722831189560047395725319486275622327032814199721746003800000*6^(1/2)', '12632445836279619113294210780168171565726892406599945732333835965116776912265868042131556830549327654393/112996477298237313277639902405971868302745384545450862247028276227308103806571175581620305423011393900000-6303547312203088429495101153246145287920801370707526715790327134571780988988474483681572268319398771221/225992954596474626555279804811943736605490769090901724494056552454616207613142351163240610846022787800000*6^(1/2)', '1115379785277627713874987636432084522404410826010464628546537384975239192450316138834225701046102632948257/3347520639960280405850082108776916598468832017158981794068212683234002575269671076605501548156712544287500-1634253006867467370609841039730482111683170725738988407797492220074165441589604495769296514008733014761/11870640567235036900177596130414597866910751833897098560525576890900718352020110200728728894172739518750*6^(1/2)', '11195395793619792818419572687595618271094922253700867106612850891912759357989068567623193453186950145251776/37146762745465379216384266737567863919875050348378042013698628944987922182903823702648363618722076517534375-687320121745403419867910288709505619542179230939368838936545299414049008577113662220686991034529999350912/12382254248488459738794755579189287973291683449459347337899542981662640727634607900882787872907358839178125*6^(1/2)', '73825104187474768875967421005730375156586805528272061538441201406502469378399602291332635087412/92871272539029599143289144740668914525146202470165909630170359355065425993729905138177287271317', 0, 0, 0, 0, 0
'-64719070744144335733962214412431202035561004419937320357188840883/101209800434111984325751891003355158288493635359529771992774000000+3559372342256314491923633965576963561357143961289/36357243706101884581258626118802982597639184500000*6^(1/2)', '0', '0', '0', '0', '-66005588850553492194962577164587068367312330247/19603612723583140697294028442079849957408380800-13176568020345600854085799476910283462657777/76130534848866565814734091037203300805469440*6^(1/2)', '-9318570701703691930191534222789494006237103047579881711/3562968864769188061196125478115789029665196590638000000+6434757944786940764537553522803508307647498263055753667/7125937729538376122392250956231578059330393181276000000*6^(1/2)', '-3761276943318114593157887595063197569838926771255702620302334773297/1464216542935037622889021617525045499738187320641028236799386000000-3559372342256314491923633965576963561357143961289/34078442106289230846820763513066043517445275500000*6^(1/2)', '438696881717332693164574683605145782902979477404432064959580227217/190320793597985643524049406938231176153947641989529318077977593750-3559372342256314491923633965576963561357143961289/6904380415341463658460171786984220252917056671875*6^(1/2)', '39393077397330623465044422844130393549390670768068628724675776122752/24104666116749847055078895726017945791587677982957405550119962671875-911199319617616509932450295187702671707428854089984/4383797390367410875150919593877143523760184037765625*6^(1/2)', '1455014345065512890761705230599774567929341275785651/437274533681980646175086038705021590800143506216585', '43491235157516875762138510242422928845963515012067399050743561004230490804423974878600834753885909/15650073716933473532700213239415706508578020603344410725067680963543589421556571669667160279586515', 0, 0, 0, 0
