0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1731/50000', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-177968356965557/1002427673820000+14180534491313/250606918455000*6^(1/2)', '64021741529527/200485534764000-7504450763411/100242767382000*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'22890147/430480000-2950617/430480000*6^(1/2)', '0', '68670441/430480000-8851851/430480000*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'592203994261020339/513126355505556250+730386990293623641/2052505422022225000*6^(1/2)', '0', '-8712153884182794903/2052505422022225000-2843421359195851533/2052505422022225000*6^(1/2)', '1873698362223295443/513126355505556250+528258592225556973/513126355505556250*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'11380823631/157617812000-339148869/39404453000*6^(1/2)', '0', '0', '16193232887091831/58864341808507450-2355345717024309/58864341808507450*6^(1/2)', '165912282616977/4179075230308000-33181894472511/2089537615154000*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'26523528363/231790900000+863255358/123138915625*6^(1/2)', '0', '0', '-38208748178016484817787/842517966262441068418750-86118788556282369822807/842517966262441068418750*6^(1/2)', '92362336407446913/290322814529044000-232039320950012997/2467743923496874000*6^(1/2)', '-362925891/1690350537500+857800423623/3380701075000*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'43/600', '0', '0', '0', '0', '43/150+43/2400*6^(1/2)', '43/150-43/2400*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0
'7353/102400', '0', '0', '0', '0', '22833/102400+8901/204800*6^(1/2)', '22833/102400-8901/204800*6^(1/2)', '-3483/102400', 0, 0, 0, 0, 0, 0, 0, 0
'376708742472214988700853/7788456028125000000000000', '0', '0', '0', '0', '187914666753956840195279/2596152009375000000000000-210440846556290693268911/15576912056250000000000000*6^(1/2)', '187914666753956840195279/2596152009375000000000000+210440846556290693268911/15576912056250000000000000*6^(1/2)', '-18552667221896744226647/865384003125000000000000', '-3167799860072183913409/30423656359863281250000', 0, 0, 0, 0, 0, 0, 0
'-426968570497/54394415898750-92754382349/12087647977500*6^(1/2)', '0', '0', '0', '0', '1/30', '-2865012129681958/114898584332330625-12962517687655099/229797168664661250*6^(1/2)', '4389715333607/309890657317500+92754382349/11477431752500*6^(1/2)', '4990058173976/83757096376875+371017529396/9306344041875*6^(1/2)', '1099523524595993125000/6257667909869756018891+100957348037989687500/6257667909869756018891*6^(1/2)', 0, 0, 0, 0, 0, 0
