0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1/25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'-15792/112225+5536/112225*6^(1/2)', '31872/112225-1536/22445*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'18/335-12/1675*6^(1/2)', '0', '54/335-36/1675*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'4014/3125+252/625*6^(1/2)', '0', '-14742/3125-972/625*6^(1/2)', '12528/3125+144/125*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'1232/16875-152/16875*6^(1/2)', '0', '0', '29684/106875-13372/320625*6^(1/2)', '2132/64125-284/21375*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'2032/16875+152/16875*6^(1/2)', '0', '0', '-7348/98325-33652/294975*6^(1/2)', '10132/64125-716/21375*6^(1/2)', '2592/14375+2912/14375*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16/225', '0', '0', '0', '0', '64/225+4/225*6^(1/2)', '64/225-4/225*6^(1/2)', 0, 0, 0, 0, 0, 0, 0, 0, 0
'57/800', '0', '0', '0', '0', '177/800+69/1600*6^(1/2)', '177/800-69/1600*6^(1/2)', '-27/800', 0, 0, 0, 0, 0, 0, 0, 0
'2844530829046074022657/58982400000000000000000', '0', '0', '0', '0', '4287156859652598464203/58982400000000000000000-1598864762333658025459/117964800000000000000000*6^(1/2)', '4287156859652598464203/58982400000000000000000+1598864762333658025459/117964800000000000000000*6^(1/2)', '-141033886218604337343/6553600000000000000000', '-21409264848554971927/204800000000000000000', 0, 0, 0, 0, 0, 0, 0
'-72189389771/9959178240000-459663572789/59755069440000*6^(1/2)', '0', '0', '0', '0', '1/30', '-14201240926266911/557169364500480000-31790792357660029/557169364500480000*6^(1/2)', '22414436941/1563197440000+459663572789/56275107840000*6^(1/2)', '154180604903/2534154240000+459663572789/11403694080000*6^(1/2)', '21871487332435000000/125536952879579583419+18386542911560000000/1129832575916216250771*6^(1/2)', 0, 0, 0, 0, 0, 0
